ProductKey,productKey,productName,cost,productSubCategoryName,productCategoryName,Color,Size,ProductLine,ModelName,EnglishDescription,status
1,AR-5381,Adjustable Race,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
2,BA-8327,Bearing Ball,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
3,BE-2349,BB Ball Bearing,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
4,BE-2908,Headset Ball Bearings,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
5,BL-2036,Blade,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
6,CA-5965,LL Crankarm,NULL,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
7,CA-6738,ML Crankarm,NULL,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
8,CA-7457,HL Crankarm,NULL,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
9,CB-2903,Chainring Bolts,NULL,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
10,CN-6137,Chainring Nut,NULL,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
11,CR-7833,Chainring,NULL,NULL,NULL,Black,NULL,NULL,NULL,NULL,Current
12,CR-9981,Crown Race,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
13,CS-2812,Chain Stays,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
14,DC-8732,Decal 1,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
15,DC-9824,Decal 2,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
16,DT-2377,Down Tube,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
17,EC-M092,Mountain End Caps,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
18,EC-R098,Road End Caps,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
19,EC-T209,Touring End Caps,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
20,FE-3760,Fork End,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
21,FH-2981,Freewheel,NULL,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
22,FW-1000,Flat Washer 1,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
23,FW-1200,Flat Washer 6,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
24,FW-1400,Flat Washer 2,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
25,FW-3400,Flat Washer 9,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
26,FW-3800,Flat Washer 4,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
27,FW-5160,Flat Washer 3,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
28,FW-5800,Flat Washer 8,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
29,FW-7160,Flat Washer 5,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
30,FW-9160,Flat Washer 7,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
31,FC-3654,Fork Crown,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
32,FC-3982,Front Derailleur Cage,NULL,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
33,FL-2301,Front Derailleur Linkage,NULL,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current
34,GP-0982,Guide Pulley,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
35,GT-0820,LL Grip Tape,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
36,GT-1209,ML Grip Tape,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
37,GT-2908,HL Grip Tape,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
54,HN-1024,Hex Nut 5,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
55,HN-1032,Hex Nut 6,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
56,HN-1213,Hex Nut 16,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
57,HN-1220,Hex Nut 17,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
58,HN-1224,Hex Nut 7,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
59,HN-1420,Hex Nut 8,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
60,HN-1428,Hex Nut 9,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
61,HN-3410,Hex Nut 22,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
62,HN-3416,Hex Nut 23,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
63,HN-3816,Hex Nut 12,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
64,HN-3824,Hex Nut 13,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
65,HN-4402,Hex Nut 1,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
66,HN-5161,Hex Nut 10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
67,HN-5162,Hex Nut 11,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
68,HN-5400,Hex Nut 2,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
69,HN-5811,Hex Nut 20,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
70,HN-5818,Hex Nut 21,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
71,HN-6320,Hex Nut 3,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
72,HN-7161,Hex Nut 14,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
73,HN-7162,Hex Nut 15,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current
